"id";"year";"make";"model";"color";"price";"mpg_city";"mpg_hwy";"transmission";"engine";"drive_type";"prev_owners";"mileage";"vin";"status";"date_created";"style";"city";"state";"images"
1;1978;"Chevrolet";"Monza Station Wagon";"Red";21479.24;8;24;"Manual";"V8 4.0L";"RWD";2;145655;"KK8059SV2KTT5HZVZ";1;"2025-01-27";"station wagon";"New Orleans";"LA";"{""model_imgs_key"": ""chevrolet monza station wagon""}"
2;1981;"Nissan";"280Zx";"Gray";42502.49;8;21;"Automatic";"V8 4.5L";"FWD";3;24083;"ENCOGOAY15Q5H0IX6";1;"2023-02-23";"coupe";"Los Angeles";"CA";"{""model_imgs_key"": ""nissan 280zx""}"
3;1975;"Volkswagen";"Camper";"Gray";29310.57;20;21;"Manual";"Flat-4 1.2L";"RWD";1;51512;"7DS5K5LUI0HLY3PSG";1;"2022-11-30";"van";"Miami";"FL";"{""model_imgs_key"": ""volkswagen camper""}"
4;1983;"Jeep";"Cj7";"Blue";27035.89;18;25;"Manual";"Inline-4 1.6L";"RWD";1;115047;"JKHO1FT5H2EHZYINN";1;"2023-03-02";"SUV / 4x4";"Phoenix";"AZ";"{""model_imgs_key"": ""jeep cj7""}"
5;1986;"Oldsmobile";"Cutlass Salon Hardtop";"Black";35060.21;19;30;"Manual";"Flat-6 3.0L";"FWD";2;40552;"PGYJDMNY8OFI9FK3H";1;"2024-07-26";"coupe,luxury";"Charlotte";"NC";"{""model_imgs_key"": ""oldsmobile cutlass salon hardtop""}"
6;1969;"Jaguar";"Xke 2 2 Coupe";"Brown";38730.78;16;20;"Automatic";"Inline-6 3.5L";"RWD";3;36390;"7ORP9RD4EYUNCWFT2";1;"2023-08-30";"luxury,coupe";"Seattle";"WA";"{""model_imgs_key"": ""jaguar xke 2 2 coupe""}"
7;1969;"Jaguar";"Xke 2 2 Coupe";"Brown";25465.93;20;23;"Manual";"Inline-6 3.5L";"FWD";1;142519;"01G2VWKW53TFU0OQ3";1;"2024-11-06";"luxury,coupe";"Seattle";"WA";"{""model_imgs_key"": ""jaguar xke 2 2 coupe""}"
8;1928;"Buick";"116 Sport Coupe";"Blue";29665.61;14;15;"Automatic";"Flat-4 2.0L";"FWD";3;42768;"YR4BVGFRCCWRBL2QT";1;"2022-09-02";"coupe";"Chicago";"IL";"{""model_imgs_key"": ""buick 116 sport coupe""}"
9;1966;"Buick";"Skylark Gs Hardtop";"Green";44929.1;17;21;"Automatic";"V8 6.6L";"FWD";3;33253;"KX6MB4MDFKBYOP2NV";1;"2023-05-31";"muscle car,coupe";"Tampa";"FL";"{""model_imgs_key"": ""buick skylark gs hardtop""}"
10;1951;"Lincoln";"Lido Hardtop";"Black";29879.69;15;21;"Automatic";"V6 3.8L";"AWD";1;139967;"GSF3Y6L3IMZSU3GS5";1;"2022-01-18";"luxury,coupe";"Denver";"CO";"{""model_imgs_key"": ""lincoln lido hardtop""}"
11;1951;"Lincoln";"Lido Hardtop";"Red";3000.0;13;22;"Automatic";"V6 3.8L";"FWD";1;89744;"3WENSOM6QI7N05KHO";1;"2024-10-24";"luxury,coupe";"New Orleans";"LA";"{""model_imgs_key"": ""lincoln lido hardtop""}"
12;1960;"Mercedes-Benz";"190Sl Roadster";"Brown";11955.8;11;26;"Automatic";"V6 4.2L";"FWD";3;85284;"5JH86CSQD7G8RRGLX";1;"2022-11-25";"convertible,luxury";"Chicago";"IL";"{""model_imgs_key"": ""mercedes-benz 190sl roadster""}"
13;1984;"Porsche";"928 S Coupe";"Red";34258.45;9;30;"Manual";"V8 4.5L";"RWD";3;6187;"X7WJ32X567NJ1J790";1;"2021-07-08";"coupe";"Austin";"TX";"{""model_imgs_key"": ""porsche 928 s coupe""}"
14;1957;"Oldsmobile";"Super 88 Convertible";"Green";13986.26;19;30;"Manual";"Rotary 1.1L";"RWD";2;141037;"MU4QF1K0AQ4013SF4";1;"2022-11-26";"convertible";"Atlanta";"GA";"{""model_imgs_key"": ""oldsmobile super 88 convertible""}"
15;1996;"Ford";"Bronco Eddie Bauer";"Gray";32511.7;14;19;"Manual";"V6 3.8L";"RWD";2;78448;"79ARWVC5PGQYR6QDC";1;"2023-06-05";"SUV / 4x4";"Houston";"TX";"{""model_imgs_key"": ""ford bronco eddie bauer""}"
16;1951;"Chevrolet";"Sedan Delivery";"Red";37795.45;16;23;"Manual";"Inline-4 2.2L";"FWD";1;16857;"O8AOGF5U99F8AZJ91";1;"2024-09-29";"van";"Atlanta";"GA";"{""model_imgs_key"": ""chevrolet sedan delivery""}"
17;1987;"Volkswagen";"Vanagon Gl Syncro Westfalia";"Red";3000.0;18;19;"Automatic";"Inline-6 3.2L";"RWD";3;130112;"OFJH17ADFV5QCUKTG";1;"2023-06-20";"SUV / 4x4,van";"Seattle";"WA";"{""model_imgs_key"": ""volkswagen vanagon gl syncro westfalia""}"
18;1978;"Volkswagen";"Type 2 Kombi Bus";"Blue";48966.19;15;28;"Manual";"V8 5.3L";"RWD";2;149411;"2KKPZE3MH248J7WWF";1;"2023-10-11";"van";"Miami";"FL";"{""model_imgs_key"": ""volkswagen type 2 kombi bus""}"
