year,make,model,color,price,mpg_city,mpg_hwy,transmission,engine,drive_type,prev_owners,mileage,vin,status,date_created,city,state,style
1978,Chevrolet,Monza Station Wagon,Red,21479.24,8,24,Manual,V8 4.0L,RWD,2,145655,KK8059SV2KTT5HZVZ,1,2025-01-27,New Orleans,LA,station wagon
1981,Nissan,280Zx,Gray,42502.49,8,21,Automatic,V8 4.5L,FWD,3,24083,ENCOGOAY15Q5H0IX6,1,2023-02-23,Los Angeles,CA,coupe
1975,Volkswagen,Camper,Gray,29310.57,20,21,Manual,Flat-4 1.2L,RWD,1,51512,7DS5K5LUI0HLY3PSG,1,2022-11-30,Miami,FL,van
1983,Jeep,Cj7,Blue,27035.89,18,25,Manual,Inline-4 1.6L,RWD,1,115047,JKHO1FT5H2EHZYINN,1,2023-03-02,Phoenix,AZ,SUV / 4x4
1986,Oldsmobile,Cutlass Salon Hardtop,Black,35060.21,19,30,Manual,Flat-6 3.0L,FWD,2,40552,PGYJDMNY8OFI9FK3H,1,2024-07-26,Charlotte,NC,"coupe,luxury"
1969,Jaguar,Xke 2 2 Coupe,Brown,38730.78,16,20,Automatic,Inline-6 3.5L,RWD,3,36390,7ORP9RD4EYUNCWFT2,1,2023-08-30,Seattle,WA,"luxury,coupe"
1969,Jaguar,Xke 2 2 Coupe,Brown,25465.93,20,23,Manual,Inline-6 3.5L,FWD,1,142519,01G2VWKW53TFU0OQ3,1,2024-11-06,Seattle,WA,"luxury,coupe"
1928,Buick,116 Sport Coupe,Blue,29665.61,14,15,Automatic,Flat-4 2.0L,FWD,3,42768,YR4BVGFRCCWRBL2QT,1,2022-09-02,Chicago,IL,coupe
1966,Buick,Skylark Gs Hardtop,Green,44929.1,17,21,Automatic,V8 6.6L,FWD,3,33253,KX6MB4MDFKBYOP2NV,1,2023-05-31,Tampa,FL,"muscle car,coupe"
1951,Lincoln,Lido Hardtop,Black,29879.69,15,21,Automatic,V6 3.8L,AWD,1,139967,GSF3Y6L3IMZSU3GS5,1,2022-01-18,Denver,CO,"luxury,coupe"
1951,Lincoln,Lido Hardtop,Red,3000,13,22,Automatic,V6 3.8L,FWD,1,89744,3WENSOM6QI7N05KHO,1,2024-10-24,New Orleans,LA,"luxury,coupe"
