"id","city","color","date_created","drive_type","engine","images","make","mileage","model","mpg_city","mpg_hwy","prev_owners","price","state","status","style","transmission","vin","year"
"251","Brentwood","Yellow","2022-10-07","RWD","V8 4.2L","{""model_imgs_key"":{""S"":""dodge challenger r t""}}","Dodge","101935","Challenger R T","13","21","3","44110.7","TN","0","""muscle car,coupe""","Automatic","K7B8WP4EJAXCWI4L5","1971"
"187","Miami","White","2021-04-03","RWD","V6 4.2L","{""model_imgs_key"":{""S"":""mercedes-benz 180d sedan""}}","Mercedes-Benz","99406","180D Sedan","15","29","3","27206.46","FL","1","""sedan,luxury""","Automatic","IKDW2VCWN4SZ4WCO6","1957"
"154","New York","White","2021-09-27","RWD","Flat-4 1.6L","{""model_imgs_key"":{""S"":""jeep willys station wagon""}}","Jeep","17446","Willys Station Wagon","16","20","2","41964.9","NY","1","station wagon","Automatic","RPV5TUWCSMBG27RC4","1963"
"7","Smyrna","Brown","2024-11-06","FWD","Inline-6 3.5L","{""model_imgs_key"":{""S"":""jaguar xke 2 2 coupe""}}","Jaguar","142519","Xke 2 2 Coupe","20","23","1","25465.93","TN","1","""luxury,coupe""","Manual","01G2VWKW53TFU0OQ3","1969"
"115","Tampa","White","2025-02-08","RWD","Flat-6 3.0L","{""model_imgs_key"":{""S"":""oldsmobile cutlass salon hardtop""}}","Oldsmobile","76578","Cutlass Salon Hardtop","8","26","3","35938.25","FL","1","""coupe,luxury""","Manual","DO9N9LHFZK7S6AARC","1986"
"512","Mobile","Gray","2024-01-24","FWD","V8 4.6L","{""model_imgs_key"":{""S"":""cadillac series 61 coupe""}}","Cadillac","53063","Series 61 Coupe","15","23","1","23837.16","AL","1","""luxury,coupe""","Manual","6QHGM07BKT9QAUE66","1950"
"286","Knoxville","Beige","2022-08-10","FWD","V8 5.5L","{""model_imgs_key"":{""S"":""chevrolet corvair monza coupe""}}","Chevrolet","13365","Corvair Monza Coupe","12","13","1","18196.51","TN","0","coupe","Manual","VXM7QZDCC379JN0YB","1968"
"361","Little Rock","Blue","2022-07-17","FWD","V8 7.0L","{""model_imgs_key"":{""S"":""chevrolet camaro type lt z28""}}","Chevrolet","85352","Camaro Type Lt Z28","14","15","1","33243.24","AR","1","""muscle car,coupe""","Manual","EJG90DF7JL9YNS35N","1974"
"380","Alpharetta","Red","2022-06-11","AWD","Flat-4 1.3L","{""model_imgs_key"":{""S"":""mercedes-benz 560sl roadster""}}","Mercedes-Benz","133283","560Sl Roadster","17","20","3","26291.49","GA","0","""convertible,luxury""","Manual","95NC8H5VWBISDVGB4","1987"
"678","Decatur","Red","2023-10-23","AWD","Flat-4 2.0L","{""model_imgs_key"":{""S"":""lincoln model 117 brunn sedan""}}","Lincoln","65648","Model 117 Brunn Sedan","8","23","2","12315.82","GA","1","""luxury,sedan""","Manual","6ZPG9A48TANMU8WU3","1922"
"526","Macon","Brown","2021-04-16","RWD","V8 4.2L","{""model_imgs_key"":{""S"":""lincoln mark v convertible""}}","Lincoln","91679","Mark V Convertible","16","28","1","47430.84","GA","1","""convertible,luxury""","Automatic","J6JZ11QUICYMJXDZV","1960"
"117","Tampa","Beige","2024-12-13","RWD","Inline-4 1.9L","{""model_imgs_key"":{""S"":""toyota classic sedan""}}","Toyota","103061","Classic Sedan","15","18","2","25928.62","FL","1","sedan","Automatic","FB306SYGQ5GG9RBG1","1996"
"401","Summerville","Black","2024-11-18","RWD","V6 3.0L","{""model_imgs_key"":{""S"":""chevrolet 210 2 door sedan""}}","Chevrolet","110183","210 2 Door Sedan","13","22","2","30964","SC","1","sedan","Automatic","0LMJ0VH9LGJOSVH4U","1957"
"554","Seattle","Black","2022-12-25","AWD","V8 3.5L","{""model_imgs_key"":{""S"":""dodge pickup""}}","Dodge","40617","Pickup","18","20","3","34720.85","WA","1","pickup","Manual","4DJ7PNWT8XWKR81GO","1950"
"47","Summerville","Brown","2022-02-21","AWD","V8 5.5L","{""model_imgs_key"":{""S"":""porsche 914""}}","Porsche","57424","914","16","30","2","12319.26","SC","1","coupe","Automatic","Q6B12UNNTEGO6EJYK","1974"
"184","Augusta","Red","2025-03-04","FWD","V6 4.2L","{""model_imgs_key"":{""S"":""mercedes-benz 180d sedan""}}","Mercedes-Benz","15900","180D Sedan","14","29","2","32442.81","GA","1","""sedan,luxury""","Automatic","4O258J79DQX16DX4X","1957"
"403","Durham","Yellow","2023-05-24","FWD","V8 3.5L","{""model_imgs_key"":{""S"":""porsche 924 turbo""}}","Porsche","102612","924 Turbo","20","21","3","3000","NC","1","coupe","Automatic","LB3F7FGPZICB28UKU","1980"
"304","Cary","White","2022-01-11","FWD","V8 4.0L","{""model_imgs_key"":{""S"":""ford mustang gt hardtop""}}","Ford","85884","Mustang Gt Hardtop","11","15","2","43950.59","NC","1","""muscle car,coupe""","Automatic","DIBQJL8A0ROI910ZV","1966"
"590","Lexington","White","2022-05-18","RWD","Flat-6 2.7L","{""model_imgs_key"":{""S"":""ford thunderbird landau hardtop""}}","Ford","25861","Thunderbird Landau Hardtop","21","23","3","42406.74","KY","1","""luxury,coupe""","Manual","UCU3NCVRS1H0QOOPG","1967"
"156","Houston","Beige","2021-04-24","AWD","V8 4.0L","{""model_imgs_key"":{""S"":""chevrolet monza station wagon""}}","Chevrolet","19205","Monza Station Wagon","9","24","3","31103.42","TX","1","station wagon","Automatic","AP06BU59BT3WDG1HD","1978"
"122","Mechanicsburg","Yellow","2024-07-19","AWD","Inline-4 2.2L","{""model_imgs_key"":{""S"":""dodge rampage""}}","Dodge","60315","Rampage","16","19","1","33822.27","PA","1","pickup","Manual","ZKPOG6KWVNKGPWMFX","1984"
"273","Huntsville","Brown","2025-03-17","AWD","Flat-4 1.6L","{""model_imgs_key"":{""S"":""mazda miata mx 5""}}","Mazda","123111","Miata Mx 5","13","29","3","25961.94","AL","1","convertible","Automatic","JLRYN6RTJNEPWXVRC","1992"
"513","Savannah","Blue","2024-03-30","FWD","V6 4.2L","{""model_imgs_key"":{""S"":""mercedes-benz 190sl roadster""}}","Mercedes-Benz","55354","190Sl Roadster","15","22","1","39889.13","GA","1","""convertible,luxury""","Manual","8XCF8NN4U4B27M8T1","1960"
"333","Goldsboro","Black","2024-12-15","FWD","Flat-4 2.0L","{""model_imgs_key"":{""S"":""lincoln model 117 brunn sedan""}}","Lincoln","22347","Model 117 Brunn Sedan","14","18","3","17677.36","NC","1","""luxury,sedan""","Manual","LX0OO8LCRH4UMNCWF","1922"
"145","Portland","Black","2023-09-02","FWD","Inline-4 1.9L","{""model_imgs_key"":{""S"":""toyota classic sedan""}}","Toyota","133222","Classic Sedan","15","21","1","25068.78","OR","1","sedan","Automatic","H5SH3LPURXATG6PU6","1996"
"195","Brentwood","Yellow","2023-07-22","RWD","V8 4.0L","{""model_imgs_key"":{""S"":""ford mustang gt hardtop""}}","Ford","77217","Mustang Gt Hardtop","13","29","3","14326.5","TN","1","""muscle car,coupe""","Automatic","WJ0KFXPMPHAG5U03G","1966"
"501","Mount Pleasant","Black","2022-06-19","AWD","Flat-4 1.2L","{""model_imgs_key"":{""S"":""volkswagen camper""}}","Volkswagen","119137","Camper","20","27","1","39448.98","SC","1","van","Manual","CFZXIX7OS60ORARMT","1975"
"359","Asheville","Gray","2022-09-29","AWD","V8 5.5L","{""model_imgs_key"":{""S"":""porsche 914""}}","Porsche","78258","914","14","18","3","32983.49","NC","1","coupe","Manual","CKIRAXFK4994ZH036","1974"
"668","Bozeman","White","2021-08-10","RWD","Rotary 1.1L","{""model_imgs_key"":{""S"":""oldsmobile super 88 convertible""}}","Oldsmobile","54508","Super 88 Convertible","8","18","3","42866.86","MT","1","convertible","Automatic","Z54RK1YH5GYJXBH7T","1957"
"583","Gastonia","Blue","2021-11-27","RWD","Inline-6 3.5L","{""model_imgs_key"":{""S"":""volkswagen karmann ghia coupe""}}","Volkswagen","80639","Karmann Ghia Coupe","19","20","2","39127.86","NC","1","coupe","Manual","7GPLAKRJO7TOHDKPU","1964"
"395","Charleston","White","2021-07-11","AWD","V8 5.5L","{""model_imgs_key"":{""S"":""porsche 914""}}","Porsche","107834","914","17","18","2","36113.97","SC","1","coupe","Manual","4I7XLY3MDG4S09TTG","1974"
"256","New Orleans","Yellow","2025-01-09","AWD","V8 5.7L","{""model_imgs_key"":{""S"":""buick super 50 series riviera 4 door sedan""}}","Buick","144395","Super 50 Series Riviera 4 Door Sedan","9","26","1","3159.01","LA","1","""luxury,sedan""","Automatic","J9ZUZYLQKW63WDOAQ","1953"
"130","Florence","Yellow","2021-07-15","FWD","V8 3.5L","{""model_imgs_key"":{""S"":""nissan 300zx""}}","Nissan","45950","300Zx","18","28","1","19909.06","SC","1","coupe","Manual","DL2XE5BRZGGPIJKH6","1994"
"386","Opelika","White","2021-08-23","RWD","V8 4.2L","{""model_imgs_key"":{""S"":""lincoln mark v convertible""}}","Lincoln","125381","Mark V Convertible","9","18","2","26458.74","AL","1","""convertible,luxury""","Automatic","IZR27SNGQW09CZU96","1960"
"573","New Bern","Brown","2023-05-07","RWD","Flat-4 1.6L","{""model_imgs_key"":{""S"":""volkswagen beetle""}}","Volkswagen","149129","Beetle","20","30","3","25282.3","NC","1","""coupe,sedan""","Automatic","98BXMA592SP9TXL1M","1967"
"369","Fayetteville","Red","2023-05-01","RWD","V12 5.3L","{""model_imgs_key"":{""S"":""cadillac series 62 coupe""}}","Cadillac","43146","Series 62 Coupe","9","29","3","42154.98","NC","1","""luxury,coupe""","Manual","APWV3FZ74K21SJ41K","1948"
"555","Raleigh","Yellow","2025-03-30","RWD","V8 3.5L","{""model_imgs_key"":{""S"":""toyota pickup""}}","Toyota","40985","Pickup","14","19","1","42294.15","NC","1","pickup","Automatic","7IGK6HL3E2B0HKBB8","1982"
"533","Miami","Black","2024-11-04","FWD","V8 5.5L","{""model_imgs_key"":{""S"":""porsche 914""}}","Porsche","130499","914","8","30","1","18413.7","FL","1","coupe","Automatic","VKG0DFYH0DM9UY0VA","1974"
"79","Pensacola","Black","2024-08-11","AWD","V8 4.0L","{""model_imgs_key"":{""S"":""chevrolet monza station wagon""}}","Chevrolet","92474","Monza Station Wagon","20","21","1","13663.81","FL","1","station wagon","Manual","NWF0FY8LA31EC54IT","1978"
"172","Kenner","White","2024-05-26","RWD","V6 4.0L","{""model_imgs_key"":{""S"":""mercedes-benz 280se sedan""}}","Mercedes-Benz","133446","280Se Sedan","14","25","1","8391.37","LA","1","""sedan,luxury""","Manual","D6ZTAWN8GCHB3ZQFP","1970"
"379","Miami","Gray","2022-12-05","RWD","Inline-4 2.2L","{""model_imgs_key"":{""S"":""pontiac streamliner 8 silver streak woody wagon""}}","Pontiac","128246","Streamliner 8 Silver Streak Woody Wagon","14","15","1","59506.64","FL","1","station wagon","Manual","NEG67E4PTKA7TPS6L","1948"
"440","Asheville","Yellow","2022-10-01","AWD","V6 4.2L","{""model_imgs_key"":{""S"":""mercedes-benz 190sl roadster""}}","Mercedes-Benz","93073","190Sl Roadster","9","23","2","34255.23","NC","1","""convertible,luxury""","Automatic","9X9I5L4B0QQODPO29","1960"
"69","Philadelphia","Blue","2022-03-13","FWD","Flat-4 1.3L","{""model_imgs_key"":{""S"":""lincoln zephyr coupe""}}","Lincoln","149819","Zephyr Coupe","17","22","2","26781.56","PA","1","""luxury,coupe""","Manual","4UZCSE0HYJ07O33LT","1938"
"471","Portland","Gray","2023-09-15","FWD","Inline-6 2.8L","{""model_imgs_key"":{""S"":""pontiac firebird convertible""}}","Pontiac","7614","Firebird Convertible","13","20","2","7218.34","OR","1","""convertible,muscle car""","Automatic","2469EK2C2CKAHGSWG","1967"
"517","Richmond","White","2023-08-16","RWD","Inline-4 1.6L","{""model_imgs_key"":{""S"":""pontiac firebird trans am tribute""}}","Pontiac","106066","Firebird Trans Am Tribute","12","15","1","36840.42","VA","1","muscle car","Automatic","W0RIJYXA26VFFG32M","1982"
"314","Greenville","Green","2021-09-11","AWD","V6 2.5L","{""model_imgs_key"":{""S"":""dodge dart 270 2 door hardtop""}}","Dodge","25232","Dart 270 2 Door Hardtop","12","27","2","29589.19","SC","1","""sedan,coupe""","Manual","MVO06FT1ZU6GI4A8I","1964"
"410","Greensboro","Blue","2021-06-30","AWD","V8 7.0L","{""model_imgs_key"":{""S"":""oldsmobile 442 convertible""}}","Oldsmobile","52319","442 Convertible","22","27","2","34362.68","NC","1","""convertible,muscle car""","Automatic","HQZYH2EGKM37PLV7T","1967"
"654","Peachtree City","Yellow","2024-09-14","FWD","Flat-4 2.0L","{""model_imgs_key"":{""S"":""dodge d150 lil red express pickup""}}","Dodge","55887","D150 Lil Red Express Pickup","15","28","3","17994.12","GA","1","pickup","Automatic","XQUXRZ63UECAZCA18","1979"
"110","Houston","Brown","2024-07-15","FWD","V8 5.3L","{""model_imgs_key"":{""S"":""volkswagen type 2 kombi bus""}}","Volkswagen","52844","Type 2 Kombi Bus","13","22","2","38769.07","TX","1","van","Manual","MG0ZBV6Y9EMF9WLBW","1978"
